row,energy_gray,static_noise_gray,snr,consistency,in_chosen_band,in_incumbent_band
423,14.543,11.432,1.272,0.75,0,0
424,14.496,11.544,1.256,0.75,0,0
425,14.445,11.477,1.259,0.75,0,0
426,15.202,11.435,1.329,0.75,0,0
427,14.957,11.419,1.31,0.75,0,0
428,14.687,11.327,1.297,0.75,0,0
429,14.825,11.281,1.314,0.75,0,0
430,14.194,11.263,1.26,0.75,0,0
431,14.871,11.162,1.332,1.0,0,0
432,14.549,11.118,1.309,0.75,0,0
433,14.14,11.123,1.271,0.75,0,0
434,14.043,11.032,1.273,1.0,0,0
435,13.751,10.95,1.256,1.0,0,0
436,13.507,10.899,1.239,1.0,0,0
437,13.751,10.87,1.265,1.0,0,0
438,13.742,10.747,1.279,1.0,0,0
439,13.858,10.801,1.283,1.0,0,0
440,13.472,10.766,1.251,1.0,0,0
441,13.443,10.713,1.255,1.0,0,0
442,13.399,10.616,1.262,1.0,0,0
443,13.174,10.626,1.24,1.0,0,0
444,12.807,10.593,1.209,1.0,0,0
445,12.672,10.48,1.209,1.0,0,0
446,12.443,10.437,1.192,1.0,0,0
447,12.088,10.27,1.177,1.0,0,0
448,11.915,10.31,1.156,1.0,0,0
449,12.011,10.2,1.178,1.0,0,0
450,11.737,10.079,1.165,1.0,0,0
451,11.26,10.116,1.113,1.0,0,0
452,11.336,10.13,1.119,1.0,0,0
453,11.234,10.078,1.115,1.0,0,0
454,11.457,10.037,1.141,1.0,0,0
455,11.257,9.971,1.129,1.0,0,0
456,11.319,9.854,1.149,1.0,0,0
457,11.375,9.747,1.167,1.0,0,0
458,11.403,9.643,1.182,1.0,0,0
459,11.575,9.52,1.216,1.0,0,0
460,11.864,9.378,1.265,1.0,0,0
461,11.885,9.202,1.292,1.0,0,0
462,12.112,9.122,1.328,1.0,0,0
463,12.293,9.045,1.359,1.0,0,0
464,12.568,8.878,1.416,1.0,0,0
465,12.643,8.782,1.44,1.0,0,0
466,12.702,8.764,1.449,1.0,0,0
467,12.625,8.57,1.473,1.0,0,0
468,12.536,8.499,1.475,1.0,0,0
469,12.385,8.405,1.474,1.0,0,0
470,12.297,8.338,1.475,0.75,0,0
471,12.261,8.264,1.484,1.0,0,0
472,12.203,8.367,1.458,1.0,0,0
473,12.157,8.358,1.455,1.0,0,0
474,11.98,8.393,1.427,0.75,0,0
475,11.651,8.27,1.409,0.75,0,0
476,12.04,8.266,1.457,1.0,0,0
477,11.797,8.108,1.455,0.75,0,0
478,12.097,8.1,1.494,1.0,0,0
479,11.802,7.917,1.491,0.75,0,0
480,11.984,7.879,1.521,0.75,0,0
481,12.001,7.87,1.525,0.75,0,0
482,12.084,7.819,1.545,0.75,0,0
483,12.259,7.718,1.588,0.75,0,0
484,12.077,7.639,1.581,0.75,0,0
485,11.959,7.523,1.59,0.75,0,0
486,12.024,7.537,1.595,0.75,0,0
487,12.21,7.486,1.631,0.75,0,0
488,12.199,7.446,1.638,0.75,0,0
489,11.963,7.495,1.596,0.75,0,0
490,11.825,7.44,1.589,0.75,0,0
491,11.696,7.38,1.585,0.75,0,0
492,11.685,7.401,1.579,0.75,0,0
493,11.398,7.318,1.557,0.75,0,0
494,11.182,7.243,1.544,0.75,0,0
495,11.122,7.21,1.543,0.75,0,0
496,10.905,7.178,1.519,0.75,0,0
497,10.667,7.097,1.503,0.75,0,0
498,10.581,7.091,1.492,0.75,0,0
499,10.634,7.099,1.498,0.75,0,0
500,10.457,7.07,1.479,0.75,0,0
501,10.281,6.966,1.476,0.75,0,0
502,10.018,7.073,1.416,0.75,0,0
503,9.421,6.954,1.355,0.75,0,0
504,9.333,6.885,1.356,0.75,0,0
505,9.384,6.801,1.38,0.75,0,0
506,9.365,6.79,1.379,0.75,0,0
507,9.318,6.782,1.374,0.75,0,0
508,9.399,6.825,1.377,0.75,0,0
509,9.292,6.768,1.373,0.75,0,0
510,9.194,6.713,1.37,0.75,0,0
511,9.325,6.677,1.397,0.75,0,0
512,9.19,6.67,1.378,0.75,0,0
513,9.229,6.632,1.392,0.75,0,0
